etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Output {GOLD}
432    | ... | ... | ... | ... | *#wˌɛskˈɔnjo# | *#wˌɛskˈojɲo# | *#βˌɛskˈojɲo# | *#βɪʃkˈɔj̃ɲɔ# | *#vəʃkˈɛ̃ɲ# | *#vəʃkˈɛ̃ɲ# {GOLD: >*} | *#vəʃkˈɛ̃ɲ# {GOLD: >*} | *#vəʃkˈɛɲ# {GOLD: >*} | *#vəʃcˈɛj# {GOLD: #uʃcˈɛj#}
433    | ... | ... | ... | ... | *#ˌoskɪtˈɒːnjo# | *#ˌosktˈoɲo# | *#ˌoːstˈoɲo# | *#ˌuːʃtˈɔ̃ɲɔ# | *#ˌuːʃtˈɔ̃ɲ# | *#ˌuːʃtˈɔ̃ɲ# {GOLD: >*} | *#ˌuːʃtˈɔ̃ɲ# {GOLD: >*} | *#ˌuʃtˈɔɲ# {GOLD: >*} | *#uʃtˈɔj# {GOLD: #uʃtˈɔj#}
434    | ... | ... | ... | ... | *#ˌuːsɪtˈɒːnjo# | *#ˌystˈoɲo# | *#ˌyːstˈoɲo# | *#ˌyʃtˈɔ̃ɲɔ# | *#ˌyʃtˈɔ̃ɲ# | *#ˌyʃtˈɔ̃ɲ# {GOLD: >*} | *#ˌyʃtˈɔ̃ɲ# {GOLD: >*} | *#ˌyʃtˈɔɲ# {GOLD: >*} | *#yʃtˈɔj# {GOLD: #uʃtˈɔj#}
435    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌudˈɔb# {GOLD: >*} | *#ˌudˈɔb# {GOLD: >*} | *#ˌudˈɔb# {GOLD: >*} | *#udˈɔb# {GOLD: #udˈɔb#}
436    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#jˌunˈak# {GOLD: >*} | *#jˌunˈak# {GOLD: >*} | *#jˌunˈak# {GOLD: >*} | *#junˈak# {GOLD: #unˈak#}
437    | ... | ... | ... | ... | *#ˌʊrʊlˈinjo# | *#ˌurulˈiɲo# | *#ˌuːrulˈiɲo# | *#ˌuɾəlˈĩɲɔ# | *#ˌuɾəlˈĩɲ# | *#ˌuɾəlˈĩɲ# {GOLD: >*} | *#ˌuɾəlˈĩɲ# {GOLD: >*} | *#ˌuɾəlˈiɲ# {GOLD: >*} | *#uɾəlˈij# {GOLD: #uləɾˈij#}
438    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌulˈiʃtə# {GOLD: >*} | *#ˌulˈiʃtə# {GOLD: >*} | *#ˌulˈiʃtə# {GOLD: >*} | *#ulˈiʃtə# {GOLD: #ulˈiʃtə#}
439    | ... | ... | ... | ... | *#ˌorˈɒːnjo# | *#ˌorˈoɲo# | *#ˌoːrˈoɲo# | *#ˌuːɾˈɔ̃ɲɔ# | *#ˌuːɾˈɔ̃ɲ# | *#ˌuːɾˈɔ̃ɲ# {GOLD: >*} | *#ˌuːɾˈɔ̃ɲ# {GOLD: >*} | *#ˌuɾˈɔɲ# {GOLD: >*} | *#uɾˈɔj# {GOLD: #uɾˈɔj#}
440    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌuɾˈɔk# {GOLD: >*} | *#ˌuɾˈɔk# {GOLD: >*} | *#ˌuɾˈɔk# {GOLD: >*} | *#uɾˈɔk# {GOLD: #uɾˈɔk#}
441    | ... | ... | ... | ... | *#rˌɒtˈʊndɑ# | *#rːˌotˈundɑ# | *#rːˌotˈunda# | *#rːˌɔtˈũnda# | *#rːˌɔtˈũndə# | *#rˌɔtˈũndə# {GOLD: #ˌɾ̩tˈundə#} | *#rˌɔtˈũndə# {GOLD: >*} | *#rˌɔtˈundə# {GOLD: >*} | *#rɔtˈundə# {GOLD: #uɾtˈundə#}
442    | ... | ... | ... | ... | *#ˌordɪnˈɑːtɑ# | *#ˌordenˈɑtɑ# | *#ˌoːrðɪɾ̃ˈata# | *#ˌuːɾðɪ̃ɾ̃ˈata# | *#ˌuːɾðə̃ɾ̃ˈatə# | *#ˌuːɾðə̃ɾ̃ˈatə# {GOLD: >*} | *#ˌuːɾðə̃ɾ̃ˈatə# {GOLD: >*} | *#ˌuɾðəɾˈatə# {GOLD: #uɾðəɾˈatə#} | *#uɾðəɾˈatə# {GOLD: #uɾðəɾˈatə#}
443    | ... | ... | ... | ... | *#ˌordɪnˈɒːnjo# | *#ˌordenˈoɲo# | *#ˌoːrðɪɾ̃ˈoɲo# | *#ˌuːɾðɪ̃ɾ̃ˈɔ̃ɲɔ# | *#ˌuːɾðə̃ɾ̃ˈɔ̃ɲ# | *#ˌuːɾðə̃ɾ̃ˈɔ̃ɲ# {GOLD: >*} | *#ˌuːɾðə̃ɾ̃ˈɔ̃ɲ# {GOLD: >*} | *#ˌuɾðəɾˈɔɲ# {GOLD: #ˌuɾðəɾˈɔɲ#} | *#uɾðəɾˈɔj# {GOLD: #uɾðəɾˈɔj#}
444    | ... | ... | ... | ... | *#hˌʊrrˈɶːnjo# | *#hˌurrˈeɲo# | *#ˌuːrrˈeɲo# | *#ˌuɾɾˈẽɲɔ# | *#ˌurːˈɛ̃ɲ# | *#ˌurˈɛ̃ɲ# {GOLD: >*} | *#ˌurˈɛ̃ɲ# {GOLD: >*} | *#ˌurˈɛɲ# {GOLD: >*} | *#urˈɛj# {GOLD: #urˈɛj#}
445    | ... | ... | ... | ... | ... | *#ˌɛpˈeskopu# | *#pˈeskopu# | *#pˈeʃkɔpu# | *#pˈɛːʃkɔp# | *#pˈɛːʃkɔp# {GOLD: >*} | *#pˈɛːʃkɔp# {GOLD: >*} | *#pˈɛʃkɔp# {GOLD: >*} | *#pˈɛʃkɔp# {GOLD: #upˈɛʃkəp#}
446    | ... | ... | ... | ... | *#ˌɑwˈʊnkʊlʊ# | *#ˌɑwˈunkulu# | *#wˈunkulu# | *#wˈũnkulu# | *#wˈũnɡulˠ# | *#wˈũŋɡl̩# {GOLD: #ˈũŋkl̩#} | *#vˈũŋɡl̩# {GOLD: >*} | *#vˈuŋɟ# {GOLD: >*} | *#vˈuŋɟ# {GOLD: #ˈuɲɟ#}
447    | ... | ... | ... | ... | *#ˈoːtʊ# | *#ˈøtu# | *#ˈøtu# | *#ˈœːtu# | *#wˈɛt# | *#wˈɛt# {GOLD: >*} | *#vˈɛt# {GOLD: >*} | *#vˈɛt# {GOLD: >*} | *#vˈɛt# {GOLD: #ˈut#}
448    | ... | ... | ... | ... | *#ˈoːrdɪnɛ# | *#ˈørdenɛ# | *#ˈørðɑ̃ɾ̃ɪ# | *#ˈœːɾðɐɾ̃ɪ# | *#wˈɛɾðɐɾ̃# | *#wˈɛɾðəɾ̃# {GOLD: #ˈuɾðə̃ɾ̃ə#} | *#vˈɛɾðəɾ̃# {GOLD: >*} | *#vˈɛɾðəɾ# {GOLD: >*} | *#vˈɛɾðəɾ# {GOLD: #ˈuɾðəɾ#}
449    | ... | ... | ... | ... | *#wˈoːmɪ# | *#wˈome# | *#βˈomɪ# | *#βˈɔ̃mɪ# | *#vˈɔ̃m# | *#vˈɔ̃m# {GOLD: >*} | *#vˈɔ̃m# {GOLD: >*} | *#vˈɔm# {GOLD: >*} | *#vˈɔm# {GOLD: #ˈumb#}
450    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#cˈɛ̃ʒna# {GOLD: >*} | *#cˈɛ̃ʒna# {GOLD: >*} | *#cˈɛʒnə# {GOLD: >*} | *#cˈɛʒnə# {GOLD: #cˈaʒnə#}
451    | ... | ... | ... | ... | *#kˈɪrkʊ# | *#kˈerku# | *#kˈerku# | *#cˈeɾku# | *#cˈɛːɾk# | *#cˈɛːɾk# {GOLD: >*} | *#cˈɛːɾk# {GOLD: >*} | *#cˈɛɾk# {GOLD: >*} | *#cˈɛɾk# {GOLD: #cˈaɾk#}
452    | ... | ... | ... | ... | *#kˈɪrkʊlʊ# | *#kˈerkulu# | *#kˈerkulu# | *#cˈeɾkulu# | *#cˈɛːɾkulˠ# | *#cˈɛːɾkulˠ# {GOLD: >*} | *#cˈɛːɾkulˠ# {GOLD: >*} | *#cˈɛɾkulˠ# {GOLD: >*} | *#cˈɛɾkulˠ# {GOLD: #cˈaɾkulˠ#}
453    | ... | ... | ... | ... | *#klˈɑːrtɑ# | *#klˈɑrtɑ# | *#klˈarta# | *#klˈaɾta# | *#klˈaːɾtə# | *#kʎˈaːɾtə# {GOLD: >*} | *#kʎˈaːɾtə# {GOLD: >*} | *#cˈaɾtə# {GOLD: >*} | *#cˈaɾtə# {GOLD: #cˈaɾtə#}
454    | ... | ... | ... | ... | *#kˈɛrrʊ# | *#kˈɛrru# | *#kˈɛrru# | *#cˈɛɾɾu# | *#cˈɛːrː# | *#cˈɛːr# {GOLD: >*} | *#cˈɛːr# {GOLD: >*} | *#cˈɛr# {GOLD: >*} | *#cˈɛr# {GOLD: #cˈar#}
455    | ... | ... | ... | ... | *#kwˌi# | *#kˌy# | *#kˌy# | *#cˌy# | *#cˌy# | *#cˌy# {GOLD: #ci#} | *#cˌy# {GOLD: >*} | *#cˌy# {GOLD: >*} | *#cy# {GOLD: #cə#}
456    | ... | ... | ... | ... | *#kˌɛllˈɒːnjo# | *#kˌɛlːˈoɲo# | *#kˌɛlːˈoɲo# | *#cəlːˈɔ̃ɲɔ# | *#cəlːˈɔ̃ɲ# | *#cəlːˈɔ̃ɲ# {GOLD: >*} | *#cəlːˈɔ̃ɲ# {GOLD: >*} | *#cəlˈɔɲ# {GOLD: >*} | *#cəlˈɔj# {GOLD: #cəlˠˈɔj#}
457    | ... | ... | ... | ... | *#klˌɑːrˈɒːnjo# | *#klˌɑrˈoɲo# | *#klˌarˈoɲo# | *#kləɾˈɔ̃ɲɔ# | *#kləɾˈɔ̃ɲ# | *#kl̩ɾˈɔ̃ɲ# {GOLD: >*} | *#kl̩ɾˈɔ̃ɲ# {GOLD: >*} | *#kl̩ɾˈɔɲ# {GOLD: #cəɾˈɔɲ#} | *#kəlɾˈɔj# {GOLD: #cəɾˈɔj#}
458    | ... | ... | ... | ... | *#kˌuːrˈɒːnjo# | *#kˌyrˈoɲo# | *#kˌyrˈoɲo# | *#cˌyːɾˈɔ̃ɲɔ# | *#cˌyːɾˈɔ̃ɲ# | *#cˌyːɾˈɔ̃ɲ# {GOLD: #ciɾˈɔ̃ɲ#} | *#cˌyːɾˈɔ̃ɲ# {GOLD: >*} | *#cˌyɾˈɔɲ# {GOLD: >*} | *#cyɾˈɔj# {GOLD: #cəɾˈɔj#}
459    | ... | ... | ... | ... | *#kwˌɛrˈɔnjo# | *#kwˌɛrˈoɲo# | *#kˌɛrˈoɲo# | *#cəɾˈɔ̃ɲɔ# | *#cəɾˈɔ̃ɲ# | *#cəɾˈɔ̃ɲ# {GOLD: >*} | *#cəɾˈɔ̃ɲ# {GOLD: >*} | *#cəɾˈɔɲ# {GOLD: >*} | *#cəɾˈɔj# {GOLD: #cəɾˈɔj#}
460    | ... | ... | ... | ... | ... | ... | ... | *#kˌɑɾɾjˈɔzə# | *#kˌɑrːjˈɔːz# | *#kˌarjˈɔːz# {GOLD: >*} | *#kˌarjˈɔːz# {GOLD: >*} | *#kˌarjˈɔz# {GOLD: >*} | *#karjˈɔz# {GOLD: #cəɾˈɔz#}
461    | ... | ... | ... | ... | *#kˌɛrtˈɒːnjo# | *#kˌɛrtˈoɲo# | *#kˌɛrtˈoɲo# | *#cəɾtˈɔ̃ɲɔ# | *#cəɾtˈɔ̃ɲ# | *#cɾ̩tˈɔ̃ɲ# {GOLD: >*} | *#cɾ̩tˈɔ̃ɲ# {GOLD: >*} | *#cɾ̩tˈɔɲ# {GOLD: >*} | *#cəɾtˈɔj# {GOLD: #cəɾtˈɔj#}
462    | ... | ... | ... | ... | *#kˌʊeːmptˈɒːnjo# | *#kˌuemptˈoɲo# | *#kˌuemtˈoɲo# | *#kˌuːj̃mtˈɔ̃ɲɔ# | *#kˌuːj̃mtˈɔ̃ɲ# | *#kˌuːmtˈɔ̃ɲ# {GOLD: >*} | *#kˌuːmtˈɔ̃ɲ# {GOLD: >*} | *#kˌumtˈɔɲ# {GOLD: >*} | *#kumtˈɔj# {GOLD: #cəmtˈɔj#}
463    | ... | ... | ... | ... | *#klˈɑːwɑnʊ# | *#klˈɑwɑnu# | *#klˈawɑ̃ɾ̃u# | *#klˈaːɐɾ̃u# | *#klˈaː# | *#kʎˈaː# {GOLD: #kʎˈɑ̃ːɾ̃#} | *#kʎˈaː# {GOLD: >*} | *#cˈa# {GOLD: >*} | *#cˈa# {GOLD: #cˈə#}
464    | ... | ... | ... | *#kˈɑnniːn# | *#kˈɑnːi# | *#kˈɑnːi# | *#kˈenːɪ# | *#cˈẽnːɪ# | *#cˈɛ̃nː# | *#cˈɛ̃nː# {GOLD: #cˈɛ̃ː#} | *#cˈɛ̃n# {GOLD: >*} | *#cˈɛn# {GOLD: >*} | *#cˈɛn# {GOLD: #cˈə#}
465    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#cɛsˈat# {GOLD: >*} | *#cɛsˈat# {GOLD: >*} | *#cɛsˈat# {GOLD: >*} | *#cɛsˈat# {GOLD: #cɛsˈat#}
466    | ... | ... | ... | ... | *#kˌɛntrˈɒːnjo# | *#kˌɛntrˈoɲo# | *#kˌɛntrˈoɲo# | *#cˌɛ̃ntɾˈɔ̃ɲɔ# | *#cˌɛ̃ndɾˈɔ̃ɲ# | *#cˌɛ̃ndɾˈɔ̃ɲ# {GOLD: >*} | *#cˌɛ̃ndɾˈɔ̃ɲ# {GOLD: >*} | *#cˌɛndɾˈɔɲ# {GOLD: >*} | *#cɛndɾˈɔj# {GOLD: #cɛndɾˈɔj#}
467    | ... | ... | ... | *#kˌerɑsˈiːɑ# | *#kˌɛrɑsˈiɑ# | *#kˌɛrɑsˈijɑ# | *#kˌɛrasˈija# | *#cˌɛɾəʃˈija# | *#cˌɛɾəʃˈiː# | *#cˌɛɾəʃˈiː# {GOLD: >*} | *#cˌɛɾʃˈiː# {GOLD: >*} | *#cˌɛɾʃˈi# {GOLD: >*} | *#cɛɾʃˈi# {GOLD: #cɛɾʃˈi#}
468    | ... | ... | ... | ... | *#kˌɛrɑsjˈɒːrʊ# | *#kˌɛrɑsjˈoru# | *#kˌɛrasˈoru# | *#cˌɛɾəʃˈɔɾu# | *#cˌɛɾəʃˈuo̯ɾ# | *#cˌɛɾəʃˈuo̯ɾ# {GOLD: >*} | *#cˌɛɾʃˈua̯ɾ# {GOLD: >*} | *#cˌɛɾʃˈua̯ɾ# {GOLD: #cɛɾʃˈua̯ɾ#} | *#cɛɾʃˈɔɾ# {GOLD: #cɛɾʃˈɔɾ#}
469    | ... | ... | ... | ... | *#kˌɛrrˈeːtʊ# | *#kˌɛrrˈetu# | *#kˌɛrrˈetu# | *#cəɾɾˈetu# | *#cərːˈɛt# | *#cərˈɛt# {GOLD: >*} | *#cərˈɛt# {GOLD: >*} | *#cərˈɛt# {GOLD: >*} | *#cərˈɛt# {GOLD: #cɛrˈɛt#}
470    | ... | ... | ... | ... | ... | ... | ... | *#klˌɛpˈɑðlɒ# | *#klˌɛpˈɑːlɒ# | *#kʎˌɛpˈaːlˠa# {GOLD: >*} | *#kʎˌɛpˈaːlˠa# {GOLD: >*} | *#cˌɛpˈalˠə# {GOLD: >*} | *#cɛpˈalˠə# {GOLD: #cɛpˈalˠə#}
471    | ... | ... | ... | ... | *#kˌeːpˈʊllɑ# | *#kˌepˈulːɑ# | *#kˌepˈulːa# | *#cˌepˈulːa# | *#cˌɛpˈuːlːə# | *#cˌɛpˈuːlːə# {GOLD: >*} | *#cˌɛpˈuːlːə# {GOLD: >*} | *#cˌɛpˈulə# {GOLD: >*} | *#cɛpˈulə# {GOLD: #cɛpˈulɛ#}
472    | ... | ... | ... | ... | *#kˈɛkɑ# | *#kˈɛkɑ# | *#kˈɛka# | *#cˈɛka# | *#cˈɛkə# | *#cˈɛkə# {GOLD: >*} | *#cˈɛkə# {GOLD: >*} | *#cˈɛkə# {GOLD: >*} | *#cˈɛkə# {GOLD: #cˈɛkə#}
473    | ... | ... | ... | ... | *#ˌɑːkˈɪnɡʊlʊ# | *#ˌɑkˈenɡulu# | *#kˈenɡulu# | *#cˈẽnɡulu# | *#cˈɛ̃nɡulˠ# | *#cˈɛ̃ŋɡl̩# {GOLD: >*} | *#cˈɛ̃ŋɡl̩# {GOLD: #cˈĩɲɟ#} | *#cˈɛŋɟ# {GOLD: >*} | *#cˈɛŋɟ# {GOLD: #cˈɛɲɟ#}
474    | ... | ... | ... | ... | *#kˈɑsɪnɑ# | *#kˈɑsenɑ# | *#kˈesɑ̃ɾ̃a# | *#cˈeʃɐɾ̃a# | *#cˈɛːʃɐɾ̃ə# | *#cˈɛːʃəɾ̃ə# {GOLD: >*} | *#cˈɛːʃəɾ̃# {GOLD: >*} | *#kˈɛʃəɾ# {GOLD: >*} | *#cˈɛʃəɾ# {GOLD: #cˈɛʃəɾ#}
475    | ... | ... | ... | ... | *#kwjˈeːtʊ# | *#kwjˈetu# | *#kˈetu# | *#cˈetu# | *#cˈɛt# | *#cˈɛt# {GOLD: >*} | *#cˈɛt# {GOLD: >*} | *#cˈɛt# {GOLD: >*} | *#cˈɛt# {GOLD: #cˈɛt#}
476    | ... | ... | ... | ... | *#kˈɑnɛ# | *#kˈɑnɛ# | *#kˈenɪ# | *#cˈẽɾ̃ɪ# | *#cˈɛ̃ː# | *#cˈɛ̃ː# {GOLD: >*} | *#cˈɛ̃ː# {GOLD: >*} | *#cˈɛ# {GOLD: >*} | *#cˈɛ# {GOLD: #cˈɛn#}
477    | ... | ... | ... | ... | *#kˈɛntrʊ# | *#kˈɛntru# | *#kˈɛntru# | *#cˈɛ̃ntɾu# | *#cˈɛ̃ndɾ# | *#cˈɛ̃ndɾ̩# {GOLD: #cˈɛ̃ntɾ̩#} | *#cˈɛ̃ndɾ̩# {GOLD: >*} | *#cˈɛndɾ̩# {GOLD: >*} | *#cˈɛndəɾ# {GOLD: #cˈɛndəɾ#}
478    | ... | ... | ... | ... | *#kˈɑlli# | *#kˈɑlːi# | *#kˈelːɪ# | *#cˈelːɪ# | *#cˈɛːlː# | *#cˈɛːlː# {GOLD: >*} | *#cˈɛːlː# {GOLD: >*} | *#cˈɛl# {GOLD: >*} | *#cˈɛl# {GOLD: #cˈɛl#}
479    | ... | ... | ... | ... | ... | *#kˈɛlːɑ# | *#kˈɛlːa# | *#cˈɛlːa# | *#cˈɛːlːə# | *#cˈɛːlːə# {GOLD: >*} | *#cˈɛːlːə# {GOLD: >*} | *#cˈɛlə# {GOLD: >*} | *#cˈɛlə# {GOLD: #cˈɛlə#}
480    | ... | ... | ... | ... | *#kˈɑlɪkɛ# | *#kˈɑlekɛ# | *#kˈelɪkɪ# | *#cˈelɪcɪ# | *#cˈɛːlc# | *#cˈɛːlc# {GOLD: >*} | *#cˈɛːlc# {GOLD: >*} | *#cˈɛlc# {GOLD: >*} | *#cˈɛlc# {GOLD: #cˈɛlc#}
481    | ... | ... | ... | ... | *#tˈɛrmɪnʊ# | *#tˈɛrmenu# | *#tˈirmɑ̃ɾ̃u# | *#tˈiɾmɐɾ̃u# | *#tˈiːɾmɐɾ̃# | *#tˈiːɾməɾ̃# {GOLD: >*} | *#tˈiːɾməɾ̃# {GOLD: >*} | *#tˈiɾməɾ# {GOLD: >*} | *#tˈiɾməɾ# {GOLD: #cˈɛɾm#}
482    | ... | ... | ... | *#tˈermon# | *#tˈɛrmɔ# | *#tˈɛrmo# | *#tˈɛrmo# | *#tˈɛɾmɔ# | *#tˈɛːɾm# | *#tˈɛːɾm# {GOLD: >*} | *#tˈɛːɾm# {GOLD: >*} | *#tˈɛɾm# {GOLD: >*} | *#tˈɛɾm# {GOLD: #cˈɛɾm#}
483    | ... | ... | ... | ... | *#kˈɑrri# | *#kˈɑrri# | *#kˈerrɪ# | *#cˈeɾɾɪ# | *#cˈɛːrː# | *#cˈɛːr# {GOLD: >*} | *#cˈɛːr# {GOLD: >*} | *#cˈɛr# {GOLD: >*} | *#cˈɛr# {GOLD: #cˈɛr#}
484    | ... | ... | ... | ... | *#kˈɑrjɛ# | *#kˈɑrjɛ# | *#kˈerːjɛ# | *#cˈerːjɛ# | *#cˈɛːrːɛ# | *#cˈɛːrɛ# {GOLD: >*} | *#cˈɛːrɛ# {GOLD: >*} | *#cˈɛrɛ# {GOLD: >*} | *#cˈɛrɛ# {GOLD: #cˈɛrɛ#}
485    | ... | ... | ... | ... | ... | ... | ... | *#klˈɛpə# | *#klˈɛp# | *#kʎˈɛp# {GOLD: >*} | *#kʎˈɛp# {GOLD: >*} | *#cˈɛp# {GOLD: >*} | *#cˈɛp# {GOLD: #cˈɛp#}
486    | ... | ... | ... | ... | *#kˈeːpɑ# | *#kˈepɑ# | *#kˈepa# | *#cˈepa# | *#cˈɛpə# | *#cˈɛpə# {GOLD: #cˈɛpə#} | *#cˈɛpə# {GOLD: >*} | *#cˈɛpə# {GOLD: >*} | *#cˈɛpə# {GOLD: #cˈɛpə#}
487    | ... | ... | ... | ... | *#kˈɑprjʊ# | *#kˈɑprju# | *#kˈepru# | *#cˈepɾu# | *#cˈɛpɾ# | *#cˈɛpɾ̩# {GOLD: >*} | *#cˈɛpɾ̩# {GOLD: >*} | *#cˈɛpɾ̩# {GOLD: >*} | *#cˈɛpəɾ# {GOLD: #cˈɛpəɾ#}
488    | ... | ... | ... | ... | ... | *#stˈɛfɑnon# | *#stˈɛfɑ̃ɾ̃on# | *#ʃtˈɛfɐɾ̃ɔ̃n# | *#ʃtˈɛːfɐɾ̃# | *#ʃtˈɛːfəɾ̃# {GOLD: >*} | *#ʃtˈɛːfəɾ̃# {GOLD: >*} | *#ʃtˈɛfəɾ# {GOLD: >*} | *#ʃtˈɛfəɾ# {GOLD: #cˈɛfəɾ#}
489    | ... | ... | ... | ... | ... | *#kˈɛfɑlon# | *#kˈɛfalon# | *#cˈɛfɐlɔ̃n# | *#cˈɛːfɐlˠ# | *#cˈɛːf?0# {GOLD: >*} | *#cˈɛːf?0# {GOLD: >*} | *#cˈɛf?0# {GOLD: >*} | *#cˈɛfəlˠ# {GOLD: #cˈɛfulˠ#}
490    | ... | ... | ... | ... | *#kˈɑpti# | *#kˈɑpti# | *#kˈaptɪ# | *#kˈaptɪ# | *#kˈaːft# | *#kˈaːft# {GOLD: >*} | *#kˈaːft# {GOLD: >*} | *#kˈaft# {GOLD: >*} | *#kˈaft# {GOLD: #cˈɛft#}
491    | ... | ... | ... | ... | *#kˈɑmɛrɑ# | *#kˈemɛrɑ# | *#kˈemɪra# | *#cˈẽmɪɾa# | *#cˈɛ̃məɾə# | *#cˈɛ̃məɾə# {GOLD: >*} | *#cˈɛ̃məɾ# {GOLD: >*} | *#cˈɛməɾ# {GOLD: >*} | *#cˈɛməɾ# {GOLD: #cˈɛməɾ#}
492    | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌiːrˈiː# | *#kˌiːɾˈiː# {GOLD: >*} | *#kˌiːɾˈiː# {GOLD: >*} | *#kˌiɾˈi# {GOLD: >*} | *#ciɾˈi# {GOLD: #ciɾˈi#}
493    | ... | ... | ... | ... | *#kˌɪmˈʊssɑ# | *#kˌemˈussɑ# | *#kˌemˈussa# | *#cə̃mˈuʃa# | *#cə̃mˈuːʃə# | *#cə̃mˈuːʃə# {GOLD: >*} | *#cə̃mˈuːʃə# {GOLD: >*} | *#cəmˈuʃə# {GOLD: >*} | *#cəmˈuʃə# {GOLD: #cimˈuʃə#}
494    | ... | ... | ... | ... | *#kˈɛlʊ# | *#kˈɛlu# | *#kˈɛlu# | *#cˈɛlu# | *#cˈie̯lˠ# | *#cˈie̯lˠ# {GOLD: #cˈie̯lˠ#} | *#cˈie̯lˠ# {GOLD: >*} | *#cˈie̯lˠ# {GOLD: >*} | *#cˈie̯lˠ# {GOLD: #cˈie̯lˠ#}
495    | ... | ... | ... | ... | *#kˌʊˈinjo# | *#kˌuˈiɲo# | *#kˌuˈiɲo# | *#kəˈĩːɲɔ# | *#kˈĩːɲ# | *#kˈĩːɲ# {GOLD: >*} | *#kˈĩːɲ# {GOLD: >*} | *#kˈiɲ# {GOLD: >*} | *#cˈij# {GOLD: #cˈij#}
496    | ... | ... | ... | ... | *#kˈɪnɡʊlɑ# | *#kˈenɡulɑ# | *#kˈenɡula# | *#cˈẽnɡula# | *#cˈɛ̃nɡulˠ# | *#cˈɛ̃ŋɡl̩# {GOLD: >*} | *#cˈɛ̃ŋɡl̩# {GOLD: >*} | *#cˈɛŋɟ# {GOLD: >*} | *#cˈɛŋɟ# {GOLD: #cˈiŋɡəl#}
497    | ... | ... | ... | ... | *#kˈɪkɛrɛ# | *#kˈekɛrɛ# | *#kˈikɪrɪ# | *#cˈicɪɾɪ# | *#cˈicəɾ# | *#cˈicɾ̩# {GOLD: >*} | *#cˈicɾ̩# {GOLD: >*} | *#cˈicɾ̩# {GOLD: >*} | *#cˈicəɾ# {GOLD: #cˈicəɾ#}
498    | ... | ... | ... | ... | *#kˈɪtrʊ# | *#kˈetru# | *#kˈetru# | *#cˈetɾu# | *#cˈɛtɾ# | *#cˈɛtɾ̩# {GOLD: >*} | *#cˈɛtɾ̩# {GOLD: >*} | *#cˈɛtɾ̩# {GOLD: >*} | *#cˈɛtəɾ# {GOLD: #cˈitəɾ#}
499    | ... | ... | ... | ... | *#kˈɛnti# | *#kˈɛnti# | *#kˈintɪ# | *#cˈĩntɪ# | *#cˈĩnd# | *#cˈĩnd# {GOLD: >*} | *#cˈĩnd# {GOLD: >*} | *#cˈind# {GOLD: >*} | *#cˈind# {GOLD: #cˈind#}
500    | ... | ... | ... | ... | *#kˈɪprjʊ# | *#kˈiprju# | *#kˈipru# | *#cˈipɾu# | *#cˈipɾ# | *#cˈipɾ̩# {GOLD: >*} | *#cˈipɾ̩# {GOLD: >*} | *#cˈipɾ̩# {GOLD: #cˈipəɾ#} | *#cˈipəɾ# {GOLD: #cˈipəɾ#}
501    | ... | ... | ... | ... | *#ˌɑkkˈɪpɪtʊ# | *#ˌɑkkˈiptu# | *#kkˈiptu# | *#cˈiptu# | *#cˈiːft# | *#cˈiːft# {GOLD: >*} | *#cˈiːft# {GOLD: >*} | *#cˈift# {GOLD: >*} | *#cˈift# {GOLD: #cˈift#}
502    | ... | ... | ... | ... | *#ˌɑkkˈɪpɪtrɛ# | *#ˌɑkkˈiptrɛ# | *#kkˈiptrɪ# | *#cˈiptɾɪ# | *#cˈiːftɾ# | *#cˈiːftɾ̩# {GOLD: >*} | *#cˈiːftɾ̩# {GOLD: >*} | *#cˈiftɾ̩# {GOLD: >*} | *#cˈiftəɾ# {GOLD: #cˈiftəɾ#}
503    | ... | ... | ... | ... | *#kˈimɑ# | *#kˈimɑ# | *#kˈima# | *#cˈĩma# | *#cˈĩmə# | *#cˈĩmə# {GOLD: >*} | *#cˈĩmə# {GOLD: >*} | *#cˈimə# {GOLD: >*} | *#cˈimə# {GOLD: #cˈimə#}
504    | ... | ... | ... | ... | *#kˈimɪkɛ# | *#kˈimekɛ# | *#kˈimɪkɪ# | *#cˈĩmɪcɪ# | *#cˈĩmc# | *#cˈĩmc# {GOLD: >*} | *#cˈĩmc# {GOLD: >*} | *#cˈimc# {GOLD: >*} | *#cˈimc# {GOLD: #cˈimkə#}
